Topic,Count,Name,Representation,Representative_Docs
70,106,70_ireland_northern ireland_protocol_northern,"['ireland', 'northern ireland', 'protocol', 'northern', 'brexit', 'agreement', 'good friday', 'friday agreement', 'ireland protocol', 'deal']","['brexit what northern ireland protocol the northern ireland protocol centre dispute', 'brexit what northern ireland protocol windsor framework the brexit deal northern ireland source political tension', 'brexit what northern ireland protocol the northern ireland protocol centre dispute']"
71,92,71_strictly_dance_come dance_strictly come,"['strictly', 'dance', 'come dance', 'strictly come', 'dancer', 'radio', 'come', 'join', 'presenter', 'comedian']","['len goodman obituary from east end strictly come dance studio the dance teacher shoot fame last minute addition head judge strictly come dance', 'strictly come dance helen skelton complete star line the radio host reveal 15th final contestant dance contest', 'strictly come dance thing find star matt goss ellie simmonds star strictly come dance series spill bean']"
72,89,72_trump_assassination_assassination attempt_attempt,"['trump', 'assassination', 'assassination attempt', 'attempt', 'rally', 'gunman', 'donald trump', 'secret service', 'donald', 'shoot']","['how much security donald trump get follow second apparent assassination attempt bbc verify look security donald trump entitle', 'watch how chaos unfold trump rally shoot former president donald trump rush stage pennsylvania apparent assassination attempt', 'map donald trump assassination attempt see close gunman get former president donald trump campaign rally pennsylvania']"
73,88,73_letby_lucy letby_lucy_nurse,"['letby', 'lucy letby', 'lucy', 'nurse', 'baby', 'murder', 'inquiry', 'serial killer', 'murder seven', 'killer']","['lucy letby trial nurse accuse doctor conspiracy lucy letby accuse gang four apportion blame cover hospital failing', 'nurse lucy letby sentence murder seven baby the conviction friday make lucy letby prolific child serial killer modern time', 'lucy letby nurse murder baby fourth attempt court tell lucy letby allege try kill premature baby three time murder']"
74,87,74_tiktok_app_video_ban,"['tiktok', 'app', 'video', 'ban', 'viral', 'instagram', 'social', 'trend', 'social medium', 'medium']","['really tiktok general election snarky jib silly meme hit tiktok real social battle elsewhere', 'can tiktok owner afford lose killer app sell ban tiktok operation estimate fetch 100bn', 'can tiktok owner afford lose killer app sell ban tiktok operation estimate fetch 100bn']"
75,83,75_korea_north korea_north_kim,"['korea', 'north korea', 'north', 'kim', 'kim jong', 'jong', 'korean', 'south korea', 'south', 'north korean']","['north korea kim jong believe turn north korea watcher believe hit milestone monday although state remain silent', 'putin arrive north korea ahead talk kim jong the russian leader make first trip north korea year', 'north korea kim jong celebrate space power spy satellite launch north korea call satellite launch success south korea know work']"
76,78,76_scotland_clarke_nation league_steve,"['scotland', 'clarke', 'nation league', 'steve', 'euro', 'nation', 'ireland', 'write tom', 'tom english', 'defeat']","['nation league draw england northern ireland scotland wale discover group fate england face republic ireland nation league group scotland opponent include portugal', 'more late scotland anguish clarke fight cynicism scepticism steve clarke deny tangible much need piece optimism croatia inflict scotland latest honourable defeat write tom english', 'what clarke scotland ongoing deterioration continue scotland head coach steve clarke must realise good enough side euro exit write tom english']"
77,77,77_ash_australia_test_ash test,"['ash', 'australia', 'test', 'ash test', 'ash england', 'england', 'england australia', 'series', 'day', 'edgbaston']","['the ash highlight england australia fourth test day old trafford england chip away australia bat tense fluctuate first day crucial fourth ash test old trafford', 'ash england australia second test day highlight england stage superb fightback second day second ash test australia lord lose three wicket run tea', 'ash england australia second test day highlight lacklustre display england ominous unbeaten steve smith give australia much better first day second ash test lord']"
78,76,78_die age_age_die_charlton,"['die age', 'age', 'die', 'charlton', 'bobby charlton', 'sir bobby', 'bobby', 'sir', 'commentator', 'legend']","['england greatest ever player football pay tribute sir bobby charlton the world football unite tribute manchester unite england legend sir bobby charlton die saturday', 'sir bobby charlton england world cup winner manchester unite legend die sir bobby charlton key player england world cup victory manchester unite legend die age', 'the paper hero sir bobby charlton never forget sunday paper pay tribute sport key figure sir bobby charlton die age']"
79,71,79_littler_luke_dart_luke littler,"['littler', 'luke', 'dart', 'luke littler', 'humphries', 'championship', 'teenager', 'van', 'league dart', 'world championship']","['luke littler year-old change dart pdc world championship teenager luke littler victory away win pdc dart world championship already pocket fairytale run alexandra palace', 'luke littler the year-old dart sensation take pdc world championship storm teenager luke littler take pdc world dart championship storm debut age', 'teenager luke littler win first senior dart title pdc world dart championship runner luke littler beat michael van gerwen win bahrain master first senior title']"
80,69,80_wale_bale_gareth bale_gareth,"['wale', 'bale', 'gareth bale', 'gareth', 'world cup', 'wale captain', 'cup', 'cup wale', 'world', 'page']","['world cup gareth bale vow continue play wale captain gareth bale continue play wale long want defeat england seal world cup elimination', 'gareth bale wale captain retire football age wale captain gareth bale announce retirement football age', 'gareth bale wale captain target euro long term stay lafc wale captain gareth bale target euro maybe world cup declare join los angeles long term']"
81,69,81_pro palestinian_pro_palestinian_protest,"['pro palestinian', 'pro', 'palestinian', 'protest', 'march', 'jewish', 'palestinian march', 'campus', 'march london', 'palestinian protest']","['thousand join pro palestinian march london demonstrator reiterate call ceasefire israel gaza conflict protest', 'thousand attend pro palestinian march london organiser protest part global day action country', 'israel gaza war thousand join pro palestinian march london pro palestinian march become regular feature since october attack israel hamas']"
82,67,82_yemen_red sea_houthis_houthi,"['yemen', 'red sea', 'houthis', 'houthi', 'sea', 'red', 'ship', 'attack', 'missile', 'vessel']","['back word action houthis yemen cameron the foreign secretary air strike necessary houthis attack ship red sea', 'who houthis attack red sea ship the houthis yemen vow attack ship red sea bind israel', 'who houthis attack red sea ship the houthis yemen vow attack ship red sea link israel']"
83,67,83_invincibles_phoenix_oval invincibles_oval,"['invincibles', 'phoenix', 'oval invincibles', 'oval', 'manchester original', 'play day', 'original', 'southern brave', 'supercharger', 'brave']","['the hundred ross whiteley stun catch lead play day watch play day headingley the hundred match oval invincibles northern supercharger men woman competition', 'curran catch mahmood ripper the hundred play day watch best play first day hundred oval invincibles host birmingham phoenix', 'the hundred will jack laura wolvaardt rilee rossouw star play day watch best sunday action northern supercharger face london spirit oval invincibles host southern brave']"
84,63,84_fashion_designer_fashion designer_fashion week,"['fashion', 'designer', 'fashion designer', 'fashion week', 'vivienne westwood', 'vivienne', 'vogue', 'london fashion', 'westwood', 'clothe']","['london fashion week the british muslim designer try future kazna asker feel difficult break fashion without connection financial back', 'ukraine designer fight back paris fashion week how ukraine indomitable fashion designer showcasing work french capital', 'issey miyake fashion picture japanese fashion designer issey miyake innovative style create global fashion brand']"
85,62,85_iran_israel_attack israel_attack,"['iran', 'israel', 'attack israel', 'attack', 'iran attack', 'missile', 'iranian', 'israel iran', 'missile attack', 'strike']","['biden oppose israeli strike iran nuclear sit the answer biden add attack israel iran must do proportionally', 'israel defence action iran attack iran launch drone missile israel threaten israel reprisal attack', 'what know iran missile attack israel iran launch missile attack israel retaliation kill militant leader ally tehran']"
86,62,86_gang_haiti_ecuador_gang violence,"['gang', 'haiti', 'ecuador', 'gang violence', 'violence', 'port', 'inmate', 'salvador', 'prison', 'colombia']","['how ecuador descend gang violence closer look behind wave violence engulf peaceful ecuador', 'ecuador prison riot more inmate kill ecuador battle wave deadly gang violence see worst prison riot history', 'haiti gang free inmate mass jailbreak thousand criminal escape capital port au-prince descend gang violence']"
87,60,87_teacher_teacher strike_strike_school,"['teacher', 'teacher strike', 'strike', 'school', 'union', 'pay', 'strike pay', 'strike teacher', 'strike date', 'union england']","['teacher strike when teacher strike teacher england wale go strike scottish school face continue action', 'when teacher go strike school close teacher strike pay biggest union england scotland wale', 'teacher strike date when school close teacher strike pay biggest union england scotland wale']"
88,58,88_dog_dog attack_attack_police,"['dog', 'dog attack', 'attack', 'police', 'dog walker', 'man', 'bully', 'attack dog', 'walker', 'arrest']","['woman die dog attack essex police dog ban breed seize', 'jaywick dog attack woman visit grandson kill dog esther martin daughter tell bbc neighbour help fight dog spade', 'leigh dog attack woman hold dog seize death follow death year-old man attack dog greater manchester']"
89,58,89_inflation_rate_rise_inflation rate,"['inflation', 'rate', 'rise', 'inflation rate', 'rate cost', 'rate year', 'cost live', 'price', 'live rise', 'highest rate']","['what inflation rate cost live rise the price thing spend money rise highest rate year', 'what inflation rate cost live rise the price thing spend money rise highest rate year', 'what inflation rate cost live rise the price thing spend money rise highest rate year']"
90,58,90_modi_kenya_election_president,"['modi', 'kenya', 'election', 'president', 'nigeria', 'presidential', 'result', 'narendra modi', 'narendra', 'william']","['modi india decade popularity polarisation indian narendra modi eye historic third term decade power', 'invisible country be muslim modi india since narendra modi bjp take power india million muslim face turmoil', 'invisible country be muslim modi india since narendra modi bjp take power india million muslim face turmoil']"
91,54,91_weight loss_weight_drug_diabetes,"['weight loss', 'weight', 'drug', 'diabetes', 'loss', 'obesity', 'diet', 'jab', 'injection', 'wegovy']","['wegovy viagra weight loss drug fly shelve how danish weight loss treatment wegovy become global sale sensation', 'will weight loss drug help jobless get back work minister laud generation weight loss drug really solution', 'weight loss jab jobless dystopian wes streeting the government look whether weight loss drug help get people back work']"
92,54,92_game_microsoft_playstation_video game,"['game', 'microsoft', 'playstation', 'video game', 'duty', 'console', 'blizzard', 'sony', 'gamers', 'nintendo']","['microsoft activision blizzard deal what need know worth 69bn change video game forever want happen here', 'meet year-old playstation game maximus trest take school focus astrolander action adventure game release next', 'activision blizzard seek block microsoft 69bn acquisition microsoft fight buy activision blizzard studio behind game call duty']"
93,54,93_cocaine_drug_cartel_mexico,"['cocaine', 'drug', 'cartel', 'mexico', 'seize', 'arrest', 'smuggle', 'kidnap', 'colombia', 'banana']","['australian craig sorry paris cocaine arrest member australia hockey team arrest paris custody allegedly buy cocaine', 'gang jail 200m cocaine banana box more tonne class drug seize shipment colombia', 'gang smuggle 200m cocaine banana box police seize tonne class drug export colombia']"
94,52,94_vaping_cigarette_vapes_smoke,"['vaping', 'cigarette', 'vapes', 'smoke', 'disposable', 'vape', 'ban', 'health', 'smoke ban', 'child']","['new zealand youth vaping crisis cloud smoke free future cigarette phase parent law little address rampant vaping young people', 'vapes safer cigarette message backfire the message around vaping may drive child teen take habit expert', 'how dangerous vaping disposable vape ban vaping far safer smoke government want stop sale vapes child']"
95,52,95_kuenssberg_laura kuenssberg_laura_write laura,"['kuenssberg', 'laura kuenssberg', 'laura', 'write laura', 'write', 'political', 'political end', 'report card', 'term report', 'strategy political']","['laura kuenssberg don believe back bore rishi sunak different kind end drama write laura kuenssberg', 'laura kuenssberg love hate nh stay that almost impossible discus alternative nh tribute longevity laura kuenssberg', 'laura kuenssberg what really go school after year talk nh political focus education laura kuenssberg']"
96,51,96_brazil_bolsonaro_lula_carnival,"['brazil', 'bolsonaro', 'lula', 'carnival', 'election', 'congress', 'presidential', 'brazilian', 'jair bolsonaro', 'jair']","['brazil polarise bolsonaro seek election lula aim comeback stake high far right incumbent jair bolsonaro unseat leave wing rival lula', 'what bolsonaro protester brazil want while much bolsonaro loss man lose lula', 'picture lula beat bolsonaro image brazil former president lula beat incumbent bolsonaro presidential election']"
